"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","C_TYP_REG_DECHET","L_TYP_REG_DECHET","C_TYP_REG_SERVICE","L_TYP_REG_SERVICE","TONNAGE_DECH"
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02A","Déchets dangereux","02A","Valorisation matière",282.71938
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02A","Déchets dangereux","02B","Incinération avec récupération d'énergie",2.2387
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02A","Déchets dangereux","02D","Stockage",139.34999
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02A","Déchets dangereux","02F","Stockage pour inertes",1.46094
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02A","Déchets dangereux","02Z","Non précisé",932.67953
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02B","Matériaux recyclables","02A","Valorisation matière",19069.54735
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02B","Matériaux recyclables","02B","Incinération avec récupération d'énergie",831.58
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02B","Matériaux recyclables","02D","Stockage",36.92
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02B","Matériaux recyclables","02E","Valorisation organique",5460.17
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02B","Matériaux recyclables","02Z","Non précisé",6.62
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02C","Déchets verts","02E","Valorisation organique",45013.01204
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02D","Encombrants","02A","Valorisation matière",310.12743
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02D","Encombrants","02B","Incinération avec récupération d'énergie",13479.89351
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02D","Encombrants","02D","Stockage",20938.86812
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02E","Déblais et gravats","02A","Valorisation matière",6194.70895
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02E","Déblais et gravats","02D","Stockage",11773.74
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02E","Déblais et gravats","02F","Stockage pour inertes",9676.31628
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02E","Déblais et gravats","02Z","Non précisé",9947.93999
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02F","DEEE","02A","Valorisation matière",3366.1529
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02Z","Autres déchets","02A","Valorisation matière",20
2009,84,"Auvergne-Rhône-Alpes","01","Ain","02Z","Autres déchets","02B","Incinération avec récupération d'énergie",0.05168
